status	isa	module	addr	asm_lines	name	note
1	thumb	code_8005020	0x0800729c	84	MapScene_InitSprites	
0	thumb	code_8005020	0x08007350	746	MapScene_LoadEventAnimations	⏸ 2026-09-02 codex: 按场景动画组加载并依据地图事件旗标播放一次性动画; 语义已确认, 保留 asm
1	thumb	code_8005020	0x08007964	44	AnimSlot_Parse	
1	thumb	code_8005020	0x080079bc	47	AnimSlot_ParseLoop	
1	thumb	code_8005020	0x08007a1c	100	sub_8007A1C	✅ 2026-08-31 pi: 4条件须同时成立(规则30 flatten_expr/31 u32 vs 指针/32 字面量vs符号/33 死store/34 adds顺序); 192B fncheck OK
0	thumb	code_8005020	0x08007adc	127	sub_8007ADC	⏸ 指令流100%一致剩27B纯home(i/mask,tx/ty/fx,count/j); 候选permuter/sub_8007ADC/base.c; 见progress
1	thumb	code_8005020	0x08007bd0	180	sub_8007BD0	✅ 2026-09-01 plan: 5-case跳转表+ce3合并case0/2尾; rec解引用决定header/type home
1	thumb	code_8005020	0x08007d5c	230	MapBg_LoadInterior	
1	thumb	code_8005020	0x08007fb8	157	Logo_LoadAssets	
1	thumb	code_8005020	0x08008124	82	ChoiceMenu_BuildList	✅ 2026-09-02 codex: 按 gChoiceGroupIdx/gChoiceSubIdx 从 gChoiceDataBase 定位 0xFF 终止选项列表并重置光标; fncheck OK
1	thumb	code_8005020	0x080081c0	72	BattleIntro_Cursor	
0	thumb	code_8005020	0x08008254	472	ChoiceMenu_HandleInput	
1	thumb	code_8005020	0x08008620	108	DialogPortrait_Set	✅ 2026-09-02 codex: 88项头像资源选择、调色板绑定及4窗口8×8 tilemap初始化; fncheck OK (220B)
1	thumb	code_8005020	0x080086fc	69	Viewport_UpdateEffects	✅ 2026-09-02 codex: 每帧更新随机视口扰动、渐变系数和 BG1 显示位; fncheck OK
1	thumb	code_8005020	0x08008788	123	IntroBg_Load	
1	thumb	code_8005020	0x080088b4	31	ScreenFade_Start	✅ 2026-09-01 codex: 初始化 fade flags、signed step、起始扫描线进度及参数; fncheck 64B OK
1	thumb	code_8005020	0x080088f4	52	AnimSlot_BankReload	
1	thumb	code_8005020	0x08008978	51	Win0H_WaveDmaByVCount	
1	thumb	code_8005020	0x080089e0	46	ScreenFx_SetMode	
1	thumb	code_8005020	0x08008a3c	18	AnimSlots_Release	
1	thumb	code_8005020	0x08008a60	16	AnimSlots_StepAll	
1	thumb	code_8005020	0x08008a80	51	BgTiles_LoadUiSet	
1	thumb	code_8005020	0x08008b14	32	BgScroll_LoadFromTable	
1	thumb	code_8005020	0x08008b5c	29	PlayerSheets_Load	
1	thumb	code_8005020	0x08008ba4	32	sub_8008BA4	✅ 2026-08-30 pi: asm-match转真C首试逐字节全等; endSlot 必须单表达式, src+=2 须在 endSlot 之后; 64B fncheck OK
1	thumb	code_8005020	0x08008be4	11	AnimSlot_Pause	
1	thumb	code_8005020	0x08008bfc	11	AnimSlot_Resume	
1	thumb	code_8005020	0x08008c14	8	AnimSlot_Active	
1	thumb	code_8005020	0x08008c24	35	ReloadSpriteSheet	
1	thumb	code_8005020	0x08008c70	39	ReloadAllSpriteSheets	
1	thumb	code_8005020	0x08008cc0	42	ChoiceMenu_ResolveDest	
1	thumb	code_8005020	0x08008d18	42	DialogPortrait_FlushPending	
1	thumb	code_8005020	0x08008d78	46	Camera_GetDrawOffset	
1	thumb	code_8005020	0x08008dcc	5	Bgm_Request	
1	thumb	code_8005020	0x08008dd8	14	BgPal_ResetFirst	
1	thumb	code_8005020	0x08008df8	38	AnimSlot_PlayOnce	
1	thumb	code_8005020	0x08008e44	41	BgMap_FillRow	
1	thumb	code_8005020	0x08008e94	70	MapBg_FlushPending	
1	thumb	code_8005020	0x08008f28	87	ChestObjects_LoadForMap	✅ 2026-09-02 codex: 扫描 256×8B gChestSpawnTable，按 mapId 装载对象并补齐 16 槽；fncheck OK (168B)
1	thumb	code_8005020	0x08008fd0	88	ChestObject_BuildSprite	✅ 2026-09-02 codex: 按 gChestObjects.flags 位7选择调色板并构建开/关宝箱 OAM 链；fncheck OK (188B)
1	thumb	code_8005020	0x0800908c	61	ChestObject_Open	✅ 2026-09-02 codex: 翻转对象状态与 gChestFlags 对应位，释放并重建精灵链；fncheck OK (136B)
1	thumb	code_8005020	0x08009114	35	LoadDigitFontObjTiles	
1	thumb	code_8005020	0x08009168	15	ChestFlags_ClearAll	
1	thumb	code_8005020	0x08009184	16	ChestFlags_Toggle	
1	thumb	code_8005020	0x080091a4	16	ChestFlags_Test	
0	thumb	code_8005020	0x080091c4	209	PaletteEffects_Update	
1	thumb	code_8005020	0x08009370	86	PaletteTransfer_Update	✅ 2026-09-02 gpnux: 破global-alloc三连首例! 关键=条件直接写 `gUnk_03000010[i]!=0 && (gUnk_03000010[i]&4)==0`(不落 u8 b 局部, 否则zero_extend成SI致ands结果落错寄存器) + DMA源拆 `u8*base=gMenuEntityPaletteTable; u32 off=...; src=(u32)(base+off)`(保r8提升与+2) + DmaSet宏+预计算src变量. 语义: 调色板DMA上传/特效分支. fncheck OK 184B
1	thumb	code_8005020	0x08009428	101	PaletteFx_Apply	
1	thumb	code_8005020	0x080094fc	134	PaletteFx_Step	✅ 2026-09-02 opencode: 调色板特效逐帧驱动(4暂存区DMA→调色板RAM+白闪WIN窗口); 关键=分支内u8局部读gUnk_03004910打破跨分支CSE→计数器落r1; fncheck OK
0	thumb	code_8005020	0x08009600	590	PaletteFx_Transform	
1	thumb	code_8005020	0x08009a5c	17	MenuEnt_ClearStates	
1	thumb	code_8005020	0x08009a7c	36	MenuEnt_ParseAll	
1	thumb	code_8005020	0x08009ac4	32	MenuEnt_ParseRange	
1	thumb	code_8005020	0x08009b04	11	MenuEnt_Unlock	
1	thumb	code_8005020	0x08009b1c	11	MenuEnt_Lock	
1	thumb	code_8005020	0x08009b34	8	MenuEnt_GetState	
1	thumb	code_8005020	0x08009b44	14	Palette_Backup	
1	thumb	code_8005020	0x08009b64	17	Palette_FillWhite	
1	thumb	code_8005020	0x08009b84	48	MenuEnt_ParseDesc	
1	thumb	code_8005020	0x08009bf0	67	StaticObjGfx_LoadPair	
