addr,status,kind,module,name,rom_size
0x08015b90,1,,code_8010F10,InvUi_DrawCursors,136
0x08015c18,0,,code_8010F10,InvUi_Main,516
0x08015e1c,0,,code_8010F10,sub_8015E1C,108
0x08015e88,1,,code_8010F10,Save_ResetReadState,24
0x08015ea0,1,,code_8010F10,Save_StartWrite,48
0x08015ed0,1,,code_8010F10,sub_8015ED0,68
0x08015f14,1,,code_8010F10,SaveUi_DrawSlots,60
0x08015f50,1,,code_8010F10,SaveTimer_Get,36
0x08015f74,1,,code_8010F10,SaveFlag_Set,32
0x08015f94,1,,code_8010F10,SaveFlag_Get,32
0x08015fb4,1,,code_8010F10,SaveUi_Open,132
0x08016038,1,,code_8010F10,sub_8016038,48
0x08016068,1,,code_8010F10,sub_8016068,100
0x080160cc,1,,code_8010F10,sub_80160CC,40
0x080160f4,1,,code_8010F10,sub_80160F4,132
0x08016178,1,,code_8010F10,sub_8016178,124
0x080161f4,1,,code_8010F10,sub_80161F4,88
0x0801624c,1,,code_8010F10,Num_Draw16,20
0x08016260,1,,code_8010F10,Hud_DrawLv,72
0x080162a8,1,,code_8010F10,Hud_DrawHp,96
0x08016308,1,,code_8010F10,Hud_DrawMp,96
0x08016368,1,,code_8010F10,Text_PutGlyph,100
0x080163cc,1,,code_8010F10,TextBlocks_Render,88
0x08016424,1,,code_8010F10,Math_DivLoop,32
0x08016444,1,,code_8010F10,Msg_ShowEndMark,28
0x08016460,1,,code_8010F10,Msg_DrawPoolSegment,96
0x080164c0,1,,code_8010F10,Msg_BuildSegmentIndex,56
0x080164f8,1,,code_8010F10,Msg_Show,16
0x08016508,1,,code_8010F10,Msg_ShowById,68
0x0801654c,1,,code_8010F10,Text_WriteOrClear,108
0x080165b8,1,,code_8010F10,Menu_GetFocus,16
0x080165c8,1,,code_8010F10,Text_ClearRect,96
0x08016628,1,,code_8010F10,MenuUi_SetExclusive,84
0x0801667c,1,,code_8010F10,MenuUi_HideAll,40
0x080166a4,1,,code_8010F10,Text_DrawChar,88
0x080166fc,0,,code_8010F10,sub_80166FC,92
0x08016758,1,,code_8010F10,sub_8016758,124
0x080167d4,1,,code_8010F10,MenuUi_MoveCursor,36
0x080167f8,1,,code_8010F10,Party_SlotOfMember,52
0x0801682c,1,,code_8010F10,SkillMenu_SaveCursor,76
0x08016878,1,,code_8010F10,ItemUse_Execute,48
0x080168a8,1,,code_8010F10,ItemUse_SetCtx,68
0x080168ec,1,,code_8010F10,SkillMenu_RestoreCursor,68
0x08016930,1,,code_8010F10,SkillMenu_GetSkill,72
0x08016978,1,,code_8010F10,Inv_FindFirstHeld,52
0x080169ac,1,,code_8010F10,Inv_FindPrevHeld,64
0x080169ec,1,,code_8010F10,Inv_FindHeldItemOnPage,40
0x08016a14,0,,code_8010F10,Save_SyncShadow,88
0x08016a6c,1,,code_8010F10,Inv_SeekFirst,52
0x08016aa0,1,,code_8010F10,Inv_PrevNonZero,52
0x08016ad4,1,,code_8010F10,Inv_NextNonZero,92
0x08016b30,0,,code_8010F10,sub_8016B30,128
0x08016bb0,1,,code_8010F10,SaveUi_OpenLoad,48
0x08016be0,1,,code_8010F10,Text_WriteChars,48
0x08016c10,1,,code_8010F10,Text_FillHidden,28
0x08016c2c,1,,code_8010F10,Text_TileAt,24
0x08016c44,1,,code_8010F10,sub_8016C44,68
0x08016c88,0,,code_8010F10,sub_8016C88,156
0x08016d24,0,,code_8010F10,sub_8016D24,268
0x08016e30,1,,code_8010F10,Sio_BuildPacket,80
0x08016e80,0,,code_8010F10,sub_8016E80,176
0x08016f30,1,,code_8010F10,sub_8016F30,144
0x08016fc0,0,,code_8010F10,sub_8016FC0,252
0x080170bc,1,,code_8010F10,Sio_SetReady,20
0x080170d0,1,,code_8010F10,Sio_Shutdown,80
0x08017120,0,,code_8010F10,sub_8017120,196
0x080171e4,0,,code_8010F10,sub_80171E4,932
0x08017588,1,,code_8010F10,Sio_IsHost,56
0x080175c0,0,,code_8010F10,sub_80175C0,64
0x08017600,1,,code_8010F10,Sio_SetXferCtx,28
0x0801761c,1,,code_8010F10,Sio_ClearSlot,36
0x08017640,0,,code_8010F10,sub_8017640,76
0x0801768c,0,,code_8010F10,sub_801768C,288
0x080177ac,0,,code_8010F10,BattleTask_Run,2040
0x08017fa4,0,,code_8010F10,sub_8017FA4,204
0x08018070,0,,code_8010F10,sub_8018070,568
0x080182a8,0,,code_8010F10,sub_80182A8,512
0x080184a8,0,,code_8010F10,sub_80184A8,500
0x0801869c,0,,code_8010F10,sub_801869C,168
0x08018744,1,,code_8010F10,sub_8018744,12
0x08018750,1,,code_8010F10,sub_8018750,60
0x0801878c,1,,code_8010F10,sub_801878C,12
0x08018798,1,,code_8010F10,sub_8018798,16
0x080187a8,1,,code_8010F10,sub_80187A8,12
0x080187b4,1,,code_8010F10,sub_80187B4,12
0x080187c0,1,,code_8010F10,sub_80187C0,20
0x080187d4,1,,code_8010F10,sub_80187D4,20
0x080187e8,1,,code_8010F10,sub_80187E8,12
0x080187f4,1,,code_8010F10,sub_80187F4,12
0x08018800,1,,code_8010F10,ListNode_Init,12
0x0801880c,1,,code_8010F10,ListNode_InitKey,12
0x08018818,1,,code_8010F10,ListNode_InsertSorted,32
0x08018838,1,,code_8010F10,sub_8018838,12
0x08018844,1,,code_8010F10,Rng_LcgNext,32
0x08018864,1,,code_8010F10,GetObjPool,8
0x0801886c,1,,code_8010F10,GetCtx_0248,8
0x08018874,1,,code_8010F10,GetBuf_37410,8
0x0801887c,1,,code_8010F10,sub_801887C,32
0x0801889c,1,,code_8010F10,sub_801889C,32
0x080188bc,0,,code_8010F10,sub_80188BC,108
0x08018928,0,,code_8010F10,sub_8018928,304
0x08018a58,0,,code_8010F10,sub_8018A58,416
0x08018bf8,0,,code_8010F10,sub_8018BF8,420
0x08018d9c,0,,code_8010F10,sub_8018D9C,152
0x08018e34,0,,code_8010F10,sub_8018E34,116
